occ_year,occ_month,difference,location,bicycle_status
2014,5,0,Outside,STOLEN
2014,5,2,Outside,STOLEN
2014,4,31,House,STOLEN
2014,5,1,Other,RECOVERED
2014,5,2,Apartment,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Transit,STOLEN
2014,5,3,Other,STOLEN
2014,5,1,House,STOLEN
2014,5,9,Educational,STOLEN
2014,5,1,House,STOLEN
2014,5,1,House,STOLEN
2014,5,1,House,STOLEN
2014,5,1,House,STOLEN
2014,5,5,Outside,STOLEN
2014,5,1,House,STOLEN
2014,5,6,Educational,STOLEN
2014,5,0,House,STOLEN
2014,5,0,Outside,UNKNOWN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,House,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Other,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,1,Outside,STOLEN
2014,5,1,Commercial,STOLEN
2014,5,1,Commercial,STOLEN
2014,5,2,Commercial,STOLEN
2014,5,1,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,2,House,STOLEN
2014,5,3,Educational,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,1,Other,STOLEN
2014,5,1,Outside,STOLEN
2014,5,5,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,5,Other,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,House,STOLEN
2014,5,1,House,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,2,Outside,STOLEN
2014,5,2,House,STOLEN
2014,5,3,Outside,STOLEN
2014,5,1,Other,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,0,House,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,0,Apartment,STOLEN
2014,4,30,Commercial,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,0,Commercial,STOLEN
2014,5,0,Outside,STOLEN
2014,5,5,Apartment,STOLEN
2014,5,0,Other,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,4,37,Apartment,STOLEN
2014,4,37,Apartment,STOLEN
2014,5,1,House,STOLEN
2014,5,2,Other,STOLEN
2014,5,14,Commercial,STOLEN
2014,5,10,Other,STOLEN
2014,5,4,Apartment,STOLEN
2014,5,2,Outside,STOLEN
2014,5,3,Other,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,5,Outside,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,14,Apartment,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,House,STOLEN
2014,5,4,Transit,STOLEN
2014,5,1,House,STOLEN
2014,5,1,Educational,STOLEN
2014,5,1,Outside,STOLEN
2014,5,13,Apartment,STOLEN
